27.05,2.61,1.62,1.50,1.46,0.89,0.60,0.71,0.60,0.00
30.39,2.67,1.40,1.99,1.56,0.92,0.61,0.76,0.70,14.37
17.57,2.01,1.85,0.00,0.00,0.83,0.75,0.00,0.00,5.11
57.79,2.79,1.57,1.98,1.41,1.35,0.60,0.96,0.70,7.89
21.09,2.25,1.56,0.00,0.00,0.96,0.65,0.00,0.00,5.54
24.00,2.39,1.55,1.49,1.39,0.92,0.60,0.71,0.63,4.43
394.19,27.86,13.93,18.09,14.34,8.91,4.67,6.27,4.54,5.12
145.56,20.12,15.18,22.08,0.00,4.97,4.88,7.17,0.00,31.90
184.39,15.75,14.17,12.30,14.00,5.65,3.47,6.15,3.95,16.04
0.00,15.76,14.75,0.00,0.00,4.30,4.30,0.00,0.00,10.44
1104.55,86.78,69.00,91.96,84.81,28.00,26.42,39.01,28.26,0.00
138.73,1171.66,0.00,0.00,0.00,37.40,0.00,0.00,0.00,139.81
165.96,190.55,0.00,0.00,0.00,47.16,0.00,0.00,0.00,37.15
1131.65,1499.00,993.92,678.10,504.50,337.99,207.00,202.35,137.67,43.26
15.99,21.65,0.00,0.00,0.00,115.00,129.00,0.00,0.00,0.00
