0.17,0.10,0.11,0.14,0.00,1.15,0.43,0.28,0.35,0.00
0.17,0.11,0.10,0.10,0.12,0.96,0.47,0.23,0.31,0.29
0.19,0.12,0.10,0.11,0.11,1.06,0.41,0.26,0.30,0.28
0.21,0.17,0.13,0.19,0.16,1.19,0.80,0.36,0.52,0.48
0.25,0.13,0.11,0.18,0.11,1.29,0.54,0.28,0.57,0.29
0.00,0.00,0.00,0.12,0.10,0.00,0.00,0.00,0.35,0.23
0.21,0.11,0.11,0.11,0.10,1.12,0.58,0.27,0.51,0.29
3.46,1.23,0.50,0.52,0.48,15.47,6.47,3.08,2.55,2.39
1.64,0.50,0.32,0.31,0.34,6.84,2.46,1.24,1.01,1.08
2.85,0.94,0.35,0.34,0.34,14.35,5.59,2.90,2.27,1.81
0.85,0.41,0.31,0.40,0.00,4.09,1.74,1.21,1.63,0.00
1.12,0.42,0.31,0.39,0.30,5.84,2.39,1.10,1.84,1.05
5.81,2.54,1.43,1.42,1.40,29.02,9.13,4.11,4.11,3.69
0.00,12.79,3.22,3.38,1.85,0.00,67.53,14.98,12.79,7.39
9.73,5.35,2.87,4.20,2.23,47.90,19.69,11.39,16.39,8.94
7.78,4.94,3.48,3.73,3.33,36.22,25.95,11.98,15.02,12.38
73.68,25.54,15.32,12.94,10.90,336.00,91.12,53.75,40.49,35.31
