0.37,0.17,0.12,0.19,0.12,2.39,0.80,0.38,1.03,0.41
0.21,0.11,0.10,0.09,0.10,1.44,0.43,0.27,0.27,0.27
0.17,0.12,0.10,0.12,0.13,0.87,0.51,0.29,0.42,0.34
0.34,0.11,0.10,0.10,0.10,2.20,0.46,0.29,0.38,0.28
0.21,0.10,0.10,0.11,0.10,1.00,0.39,0.25,0.25,0.25
0.24,0.15,0.09,0.15,0.10,1.49,0.78,0.31,0.76,0.36
0.17,0.11,0.10,0.10,0.10,0.88,0.43,0.27,0.36,0.26
1.33,0.64,0.40,0.62,0.48,5.49,3.11,1.57,2.39,1.55
3.01,2.12,1.97,4.75,0.00,12.47,8.87,8.14,12.35,0.00
1.42,0.75,0.50,0.70,0.48,5.12,3.16,1.78,2.13,2.07
2.12,0.66,0.42,0.39,0.49,12.50,3.31,1.62,1.41,1.42
1.40,0.70,0.48,0.42,0.43,6.86,2.54,1.62,1.39,1.44
28.98,14.46,10.21,9.51,8.65,114.70,51.08,37.62,27.97,25.93
3.61,1.86,1.26,1.42,1.51,16.67,8.90,5.07,7.72,6.90
3.57,1.77,1.42,1.52,0.00,13.71,7.19,4.55,9.90,0.00
12.25,9.82,7.99,9.21,6.50,60.12,42.00,31.00,35.49,1419.74
24.12,14.32,8.92,12.19,7.86,138.23,55.37,35.70,55.00,29.40
