0.17,0.10,0.10,0.10,0.10,0.76,0.35,0.23,0.23,0.23
0.71,0.17,0.10,0.09,0.10,4.05,1.08,0.53,0.52,0.52
0.20,0.10,0.10,0.10,0.10,1.99,0.36,0.23,0.23,0.23
1.74,0.37,0.25,0.24,0.24,10.26,2.91,1.97,1.81,1.81
0.15,0.11,0.10,0.10,0.10,0.85,0.48,0.26,0.41,0.27
0.20,0.10,0.10,0.10,0.10,1.85,0.37,0.24,0.21,0.24
0.15,0.11,0.10,0.11,0.10,0.63,0.34,0.23,0.24,0.24
0.93,0.57,0.38,0.46,0.39,3.62,2.10,1.23,1.34,1.07
0.85,0.53,0.36,0.41,0.36,3.95,2.01,1.11,2.04,1.23
2.14,1.19,0.49,0.98,0.48,10.66,5.70,2.46,4.07,2.22
1.24,0.75,0.48,0.73,0.50,5.59,2.81,2.30,2.61,2.30
0.93,0.51,0.37,0.42,0.38,3.51,2.13,1.10,1.23,1.00
9.46,4.90,3.08,3.01,3.10,47.18,15.96,10.15,7.99,7.27
9.11,5.78,3.81,5.07,3.88,39.40,19.55,12.68,17.18,13.39
8.56,4.84,3.08,3.17,3.58,39.99,14.96,10.19,10.99,7.95
156.05,84.73,61.42,56.90,49.23,551.39,287.50,214.90,181.86,125.26
20.70,12.83,7.83,8.80,4.79,84.11,61.61,29.38,37.81,18.55
