0.15,0.11,0.09,0.10,0.10,0.55,0.34,0.24,0.28,0.25
0.18,0.11,0.10,0.10,0.10,0.93,0.36,0.25,0.29,0.24
0.65,0.40,0.21,0.28,0.21,3.74,2.68,1.67,2.32,1.57
0.23,0.12,0.10,0.11,0.10,1.29,0.43,0.31,0.74,0.32
0.15,0.11,0.10,0.12,0.10,0.69,0.36,0.24,0.31,0.24
0.15,0.11,0.10,0.11,0.11,0.75,0.46,0.29,0.39,0.35
0.20,0.10,0.11,0.10,0.10,0.98,0.36,0.21,0.23,0.23
1.11,0.81,0.66,0.64,0.61,3.69,2.48,1.90,1.96,1.77
1.04,0.83,0.63,0.70,0.00,4.23,2.31,1.81,5.22,0.00
1.06,0.81,0.69,0.59,0.69,3.95,2.55,1.70,1.79,1.58
2.38,0.87,0.64,0.60,0.62,9.89,2.56,1.84,1.84,1.80
1.11,0.85,0.62,0.64,0.71,4.19,2.60,1.80,1.79,2.30
12.62,9.95,8.74,11.06,7.27,44.11,30.91,24.90,31.78,22.57
6.11,4.74,3.75,3.88,3.37,27.02,17.94,9.89,11.36,10.73
13.35,7.28,5.41,7.90,5.36,41.23,24.49,15.31,21.76,14.15
60.44,51.40,46.66,47.42,0.00,189.78,169.46,125.23,141.23,0.00
56.84,36.02,22.00,24.51,15.03,202.65,122.74,73.71,69.85,41.93
