0.23,0.14,0.10,0.11,0.14,1.27,0.64,0.27,0.41,0.62
1.39,0.27,0.20,0.19,0.19,6.24,1.39,0.74,0.69,0.55
0.28,0.12,0.10,0.10,0.10,1.69,0.43,0.24,0.24,0.24
0.78,0.17,0.13,0.11,0.11,2.61,0.73,0.31,0.30,0.30
0.48,0.11,0.10,0.10,0.10,2.31,0.55,0.30,0.28,0.30
1.89,0.58,0.40,0.38,0.37,10.27,2.39,2.10,2.08,2.10
3.50,1.50,0.71,1.47,0.63,16.50,5.17,2.57,4.95,2.45
1.32,0.71,0.40,0.47,0.41,5.23,2.92,1.73,1.99,1.72
3.71,1.01,0.51,0.50,0.52,22.19,5.66,3.01,2.81,2.59
1.24,0.73,0.48,0.69,0.00,4.92,3.04,1.69,2.58,0.00
1.24,0.75,0.47,1.08,0.00,6.06,3.16,2.22,4.06,0.00
13.57,7.49,4.68,4.96,4.03,52.69,28.34,17.27,17.64,17.82
14.17,7.52,5.10,7.91,4.80,83.55,34.50,26.39,30.03,23.00
6.29,3.81,3.04,3.52,2.79,30.16,15.00,11.12,13.46,9.97
91.94,45.60,29.91,27.95,27.78,452.76,180.85,112.65,84.98,83.60
12.65,8.11,6.03,7.08,5.49,67.29,56.69,25.68,40.59,23.92
