0.43,0.15,0.11,0.11,0.11,2.91,0.83,0.42,0.43,0.41
0.21,0.11,0.10,0.10,0.10,1.41,0.34,0.23,0.23,0.24
0.17,0.10,0.10,0.10,0.00,1.12,0.32,0.23,0.26,0.00
0.00,0.14,0.10,0.11,0.10,0.00,0.59,0.23,0.26,0.23
0.72,0.24,0.14,0.35,0.13,3.75,1.24,0.57,1.52,0.58
0.43,0.14,0.10,0.11,0.10,3.40,0.72,0.36,0.30,0.29
0.16,0.11,0.10,0.10,0.10,0.98,0.38,0.23,0.29,0.27
7.66,1.64,0.31,0.36,0.31,74.01,8.81,2.60,2.53,2.27
3.65,1.11,0.58,0.53,0.54,16.48,6.04,3.17,2.44,2.76
0.63,0.31,0.30,0.29,0.00,2.68,1.29,0.78,0.92,0.00
0.77,0.30,0.29,0.30,0.30,3.88,1.29,0.83,0.78,0.78
0.95,0.32,0.28,0.29,0.30,6.76,1.31,0.77,0.75,0.75
5.31,2.49,1.43,2.04,1.45,24.61,11.19,4.27,12.31,3.91
5.88,2.33,1.63,1.45,1.47,27.09,7.56,4.19,3.46,3.70
4.30,1.96,1.41,1.41,1.41,26.22,7.38,4.32,4.08,3.74
49.10,33.52,22.91,29.50,20.12,189.75,100.93,58.99,82.81,50.60
20.35,6.49,3.65,3.17,2.96,106.84,22.78,16.61,11.00,9.60
