0.35,0.25,0.19,0.37,0.39,1.77,1.16,0.75,1.72,1.46
0.36,0.12,0.11,0.20,0.11,1.28,0.41,0.27,0.46,0.27
0.89,0.27,0.16,0.15,0.14,2.89,0.61,0.37,0.35,0.35
0.16,0.11,0.10,0.16,0.21,0.61,0.35,0.25,0.34,0.37
0.16,0.11,0.10,0.12,0.18,0.61,0.32,0.23,0.35,0.31
1.04,0.69,0.49,0.65,0.57,3.96,2.58,1.79,1.76,1.74
3.05,0.97,0.54,0.58,0.59,15.47,4.05,2.36,2.32,2.59
1.18,0.70,0.51,0.62,0.66,4.23,2.26,1.84,2.47,1.75
0.99,0.64,0.51,0.55,0.54,3.81,2.35,1.72,3.19,1.81
8.35,4.62,3.80,7.28,4.72,30.91,18.49,16.52,22.14,14.76
17.99,9.09,6.47,8.60,5.95,58.05,32.51,21.20,27.50,19.82
4.32,2.47,2.09,3.68,2.35,17.66,9.90,7.66,10.44,7.75
0.00,11.44,13.50,0.00,0.00,0.00,39.58,42.22,0.00,0.00
0.00,0.00,14.54,3.99,2.09,0.00,0.00,107.98,16.50,7.74
